#TYPE Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResource
"ResourceId","Id","Identity","Kind","Location","ManagedBy","ResourceName","Name","ExtensionResourceName","ParentResource","Plan","Properties","ResourceGroupName","Type","ResourceType","ExtensionResourceType","Sku","Tags","SubscriptionId","CreatedTime","ChangedTime","ETag"
"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/microsoft.alertsManagement/smartDetectorAlertRules/Failure Anomalies - azstlndfnc262","/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/microsoft.alertsManagement/smartDetectorAlertRules/Failure Anomalies - azstlndfnc262",,,"global",,"Failure Anomalies - azstlndfnc262","Failure Anomalies - azstlndfnc262",,,,,"acm-dev-rg","microsoft.alertsManagement/smartDetectorAlertRules","microsoft.alertsManagement/smartDetectorAlertRules",,,"System.Collections.Generic.Dictionary`2[System.String,System.String]",,,,
"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/microsoft.alertsManagement/smartDetectorAlertRules/Failure Anomalies - azstlndfnc442","/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/microsoft.alertsManagement/smartDetectorAlertRules/Failure Anomalies - azstlndfnc442",,,"global",,"Failure Anomalies - azstlndfnc442","Failure Anomalies - azstlndfnc442",,,,,"acm-dev-rg","microsoft.alertsManagement/smartDetectorAlertRules","microsoft.alertsManagement/smartDetectorAlertRules",,,"System.Collections.Generic.Dictionary`2[System.String,System.String]",,,,
"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/microsoft.alertsManagement/smartDetectorAlertRules/Failure Anomalies - azstlndfunc042","/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/microsoft.alertsManagement/smartDetectorAlertRules/Failure Anomalies - azstlndfunc042",,,"global",,"Failure Anomalies - azstlndfunc042","Failure Anomalies - azstlndfunc042",,,,,"acm-dev-rg","microsoft.alertsManagement/smartDetectorAlertRules","microsoft.alertsManagement/smartDetectorAlertRules",,,"System.Collections.Generic.Dictionary`2[System.String,System.String]",,,,
"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/microsoft.alertsManagement/smartDetectorAlertRules/Failure Anomalies - azstlndweb492","/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/microsoft.alertsManagement/smartDetectorAlertRules/Failure Anomalies - azstlndweb492",,,"global",,"Failure Anomalies - azstlndweb492","Failure Anomalies - azstlndweb492",,,,,"acm-dev-rg","microsoft.alertsManagement/smartDetectorAlertRules","microsoft.alertsManagement/smartDetectorAlertRules",,,"System.Collections.Generic.Dictionary`2[System.String,System.String]",,,,
"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/Microsoft.ApiManagement/service/azstlndfnc262-apim","/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/Microsoft.ApiManagement/service/azstlndfnc262-apim",,,"japaneast",,"azstlndfnc262-apim","azstlndfnc262-apim",,,,,"acm-dev-rg","Microsoft.ApiManagement/service","Microsoft.ApiManagement/service",,"Microsoft.Azure.Management.ResourceManager.Models.Sku","System.Collections.Generic.Dictionary`2[System.String,System.String]",,,,
"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/Microsoft.Compute/disks/azstlndavm242_OsDisk_1_56d3f5a0513d419cafaa14006b6bb601","/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/Microsoft.Compute/disks/azstlndavm242_OsDisk_1_56d3f5a0513d419cafaa14006b6bb601",,,"japaneast","/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/Microsoft.Compute/virtualMachines/azstlndavm242","azstlndavm242_OsDisk_1_56d3f5a0513d419cafaa14006b6bb601","azstlndavm242_OsDisk_1_56d3f5a0513d419cafaa14006b6bb601",,,,,"acm-dev-rg","Microsoft.Compute/disks","Microsoft.Compute/disks",,"Microsoft.Azure.Management.ResourceManager.Models.Sku","System.Collections.Generic.Dictionary`2[System.String,System.String]",,,,
"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/Microsoft.Compute/disks/azstlndavm462","/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/Microsoft.Compute/disks/azstlndavm462",,,"japaneast","/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/Microsoft.Compute/virtualMachines/azstlndavm462","azstlndavm462","azstlndavm462",,,,,"acm-dev-rg","Microsoft.Compute/disks","Microsoft.Compute/disks",,"Microsoft.Azure.Management.ResourceManager.Models.Sku","System.Collections.Generic.Dictionary`2[System.String,System.String]",,,,
"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/ACM-DEV-RG/providers/Microsoft.Compute/virtualMachines/azstlndavm242","/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/ACM-DEV-RG/providers/Microsoft.Compute/virtualMachines/azstlndavm242",,,"japaneast",,"azstlndavm242","azstlndavm242",,,,,"ACM-DEV-RG","Microsoft.Compute/virtualMachines","Microsoft.Compute/virtualMachines",,,"System.Collections.Generic.Dictionary`2[System.String,System.String]",,,,
"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/ACM-DEV-RG/providers/Microsoft.Compute/virtualMachines/azstlndavm242/extensions/OmsAgentForLinux","/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/ACM-DEV-RG/providers/Microsoft.Compute/virtualMachines/azstlndavm242/extensions/OmsAgentForLinux",,,"japaneast",,"azstlndavm242/OmsAgentForLinux","azstlndavm242/OmsAgentForLinux",,"virtualMachines/azstlndavm242",,,"ACM-DEV-RG","Microsoft.Compute/virtualMachines/extensions","Microsoft.Compute/virtualMachines/extensions",,,,,,,
"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/ACM-DEV-RG/providers/Microsoft.Compute/virtualMachines/azstlndavm462","/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/ACM-DEV-RG/providers/Microsoft.Compute/virtualMachines/azstlndavm462",,,"japaneast",,"azstlndavm462","azstlndavm462",,,,,"ACM-DEV-RG","Microsoft.Compute/virtualMachines","Microsoft.Compute/virtualMachines",,,"System.Collections.Generic.Dictionary`2[System.String,System.String]",,,,
"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/ACM-DEV-RG/providers/Microsoft.Compute/virtualMachines/azstlndavm462/extensions/MicrosoftMonitoringAgent","/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/ACM-DEV-RG/providers/Microsoft.Compute/virtualMachines/azstlndavm462/extensions/MicrosoftMonitoringAgent",,,"japaneast",,"azstlndavm462/MicrosoftMonitoringAgent","azstlndavm462/MicrosoftMonitoringAgent",,"virtualMachines/azstlndavm462",,,"ACM-DEV-RG","Microsoft.Compute/virtualMachines/extensions","Microsoft.Compute/virtualMachines/extensions",,,,,,,
"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/Microsoft.DataFactory/factories/azstlndadf052","/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/Microsoft.DataFactory/factories/azstlndadf052","Microsoft.Azure.Management.ResourceManager.Models.Identity",,"japaneast",,"azstlndadf052","azstlndadf052",,,,,"acm-dev-rg","Microsoft.DataFactory/factories","Microsoft.DataFactory/factories",,,"System.Collections.Generic.Dictionary`2[System.String,System.String]",,,,
"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/Microsoft.DevTestLab/schedules/shutdown-computevm-azstlndavm242","/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/Microsoft.DevTestLab/schedules/shutdown-computevm-azstlndavm242",,,"japaneast",,"shutdown-computevm-azstlndavm242","shutdown-computevm-azstlndavm242",,,,,"acm-dev-rg","Microsoft.DevTestLab/schedules","Microsoft.DevTestLab/schedules",,,,,,,
"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/Microsoft.DevTestLab/schedules/shutdown-computevm-azstlndavm462","/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/Microsoft.DevTestLab/schedules/shutdown-computevm-azstlndavm462",,,"japaneast",,"shutdown-computevm-azstlndavm462","shutdown-computevm-azstlndavm462",,,,,"acm-dev-rg","Microsoft.DevTestLab/schedules","Microsoft.DevTestLab/schedules",,,,,,,
"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/Microsoft.DocumentDb/databaseAccounts/azstlndaccountdb","/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/Microsoft.DocumentDb/databaseAccounts/azstlndaccountdb",,"GlobalDocumentDB","japaneast",,"azstlndaccountdb","azstlndaccountdb",,,,,"acm-dev-rg","Microsoft.DocumentDb/databaseAccounts","Microsoft.DocumentDb/databaseAccounts",,,"System.Collections.Generic.Dictionary`2[System.String,System.String]",,,,
"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/microsoft.insights/actiongroups/Migration_AG1","/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/microsoft.insights/actiongroups/Migration_AG1",,,"global",,"Migration_AG1","Migration_AG1",,,,,"acm-dev-rg","microsoft.insights/actiongroups","microsoft.insights/actiongroups",,,"System.Collections.Generic.Dictionary`2[System.String,System.String]",,,,
"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/microsoft.insights/actiongroups/Migration_AG3","/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/microsoft.insights/actiongroups/Migration_AG3",,,"global",,"Migration_AG3","Migration_AG3",,,,,"acm-dev-rg","microsoft.insights/actiongroups","microsoft.insights/actiongroups",,,"System.Collections.Generic.Dictionary`2[System.String,System.String]",,,,
"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/microsoft.insights/components/azstlndfnc262","/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/microsoft.insights/components/azstlndfnc262",,"web","southeastasia",,"azstlndfnc262","azstlndfnc262",,,,,"acm-dev-rg","microsoft.insights/components","microsoft.insights/components",,,"System.Collections.Generic.Dictionary`2[System.String,System.String]",,,,
"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/microsoft.insights/components/azstlndfnc442","/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/microsoft.insights/components/azstlndfnc442",,"web","japaneast",,"azstlndfnc442","azstlndfnc442",,,,,"acm-dev-rg","microsoft.insights/components","microsoft.insights/components",,,"System.Collections.Generic.Dictionary`2[System.String,System.String]",,,,
"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/microsoft.insights/components/azstlndfunc042","/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/microsoft.insights/components/azstlndfunc042",,"web","southeastasia",,"azstlndfunc042","azstlndfunc042",,,,,"acm-dev-rg","microsoft.insights/components","microsoft.insights/components",,,"System.Collections.Generic.Dictionary`2[System.String,System.String]",,,,
"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/microsoft.insights/components/azstlndweb492","/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/microsoft.insights/components/azstlndweb492",,"web","japaneast",,"azstlndweb492","azstlndweb492",,,,,"acm-dev-rg","microsoft.insights/components","microsoft.insights/components",,,"System.Collections.Generic.Dictionary`2[System.String,System.String]",,,,
"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/Microsoft.Logic/workflows/azstlnderpfr012","/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/Microsoft.Logic/workflows/azstlnderpfr012",,,"japaneast",,"azstlnderpfr012","azstlnderpfr012",,,,,"acm-dev-rg","Microsoft.Logic/workflows","Microsoft.Logic/workflows",,,"System.Collections.Generic.Dictionary`2[System.String,System.String]",,,,
"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/Microsoft.Logic/workflows/azstlndldkyk012","/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/Microsoft.Logic/workflows/azstlndldkyk012",,,"japaneast",,"azstlndldkyk012","azstlndldkyk012",,,,,"acm-dev-rg","Microsoft.Logic/workflows","Microsoft.Logic/workflows",,,"System.Collections.Generic.Dictionary`2[System.String,System.String]",,,,
"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/Microsoft.Logic/workflows/azstlndlga172","/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/Microsoft.Logic/workflows/azstlndlga172",,,"japaneast",,"azstlndlga172","azstlndlga172",,,,,"acm-dev-rg","Microsoft.Logic/workflows","Microsoft.Logic/workflows",,,"System.Collections.Generic.Dictionary`2[System.String,System.String]",,,,
"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/Microsoft.Logic/workflows/azstlndlga182","/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/Microsoft.Logic/workflows/azstlndlga182",,,"japaneast",,"azstlndlga182","azstlndlga182",,,,,"acm-dev-rg","Microsoft.Logic/workflows","Microsoft.Logic/workflows",,,"System.Collections.Generic.Dictionary`2[System.String,System.String]",,,,
"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/Microsoft.Logic/workflows/azstlndlga192","/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/Microsoft.Logic/workflows/azstlndlga192",,,"japaneast",,"azstlndlga192","azstlndlga192",,,,,"acm-dev-rg","Microsoft.Logic/workflows","Microsoft.Logic/workflows",,,"System.Collections.Generic.Dictionary`2[System.String,System.String]",,,,
"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/Microsoft.Logic/workflows/azstlndlgap012","/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/Microsoft.Logic/workflows/azstlndlgap012",,,"japaneast",,"azstlndlgap012","azstlndlgap012",,,,,"acm-dev-rg","Microsoft.Logic/workflows","Microsoft.Logic/workflows",,,"System.Collections.Generic.Dictionary`2[System.String,System.String]",,,,
"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/Microsoft.Logic/workflows/azstlndlgap022","/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/Microsoft.Logic/workflows/azstlndlgap022",,,"japaneast",,"azstlndlgap022","azstlndlgap022",,,,,"acm-dev-rg","Microsoft.Logic/workflows","Microsoft.Logic/workflows",,,"System.Collections.Generic.Dictionary`2[System.String,System.String]",,,,
"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/Microsoft.Logic/workflows/azstlndlgap032","/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/Microsoft.Logic/workflows/azstlndlgap032",,,"japaneast",,"azstlndlgap032","azstlndlgap032",,,,,"acm-dev-rg","Microsoft.Logic/workflows","Microsoft.Logic/workflows",,,"System.Collections.Generic.Dictionary`2[System.String,System.String]",,,,
"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/Microsoft.Logic/workflows/azstlndlgap042","/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/Microsoft.Logic/workflows/azstlndlgap042",,,"japaneast",,"azstlndlgap042","azstlndlgap042",,,,,"acm-dev-rg","Microsoft.Logic/workflows","Microsoft.Logic/workflows",,,"System.Collections.Generic.Dictionary`2[System.String,System.String]",,,,
"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/Microsoft.Logic/workflows/azstlndlgap052","/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/Microsoft.Logic/workflows/azstlndlgap052",,,"japaneast",,"azstlndlgap052","azstlndlgap052",,,,,"acm-dev-rg","Microsoft.Logic/workflows","Microsoft.Logic/workflows",,,"System.Collections.Generic.Dictionary`2[System.String,System.String]",,,,
"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/Microsoft.Logic/workflows/azstlndlgap062","/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/Microsoft.Logic/workflows/azstlndlgap062",,,"japaneast",,"azstlndlgap062","azstlndlgap062",,,,,"acm-dev-rg","Microsoft.Logic/workflows","Microsoft.Logic/workflows",,,"System.Collections.Generic.Dictionary`2[System.String,System.String]",,,,
"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/Microsoft.Logic/workflows/azstlndlgap072","/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/Microsoft.Logic/workflows/azstlndlgap072",,,"japaneast",,"azstlndlgap072","azstlndlgap072",,,,,"acm-dev-rg","Microsoft.Logic/workflows","Microsoft.Logic/workflows",,,"System.Collections.Generic.Dictionary`2[System.String,System.String]",,,,
"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/Microsoft.Logic/workflows/azstlndlgap082","/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/Microsoft.Logic/workflows/azstlndlgap082",,,"japaneast",,"azstlndlgap082","azstlndlgap082",,,,,"acm-dev-rg","Microsoft.Logic/workflows","Microsoft.Logic/workflows",,,"System.Collections.Generic.Dictionary`2[System.String,System.String]",,,,
"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/Microsoft.Logic/workflows/azstlndlgap092","/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/Microsoft.Logic/workflows/azstlndlgap092",,,"japaneast",,"azstlndlgap092","azstlndlgap092",,,,,"acm-dev-rg","Microsoft.Logic/workflows","Microsoft.Logic/workflows",,,"System.Collections.Generic.Dictionary`2[System.String,System.String]",,,,
"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/Microsoft.Network/networkInterfaces/azstlndavm24275","/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/Microsoft.Network/networkInterfaces/azstlndavm24275",,,"japaneast",,"azstlndavm24275","azstlndavm24275",,,,,"acm-dev-rg","Microsoft.Network/networkInterfaces","Microsoft.Network/networkInterfaces",,,"System.Collections.Generic.Dictionary`2[System.String,System.String]",,,,
"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/Microsoft.Network/networkInterfaces/azstlndavm462645","/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg/providers/Microsoft.Network/networkInterfaces/azstlndavm462645",,,"japaneast",,"azstlndavm462645","azstlndavm462645",,,,,"acm-dev-rg","Microsoft.Network/networkInterfaces","Microsoft.Network/networkInterfaces",,,"System.Collections.Generic.Dictionary`2[System.String,System.String]",,,,
