#TYPE Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceGroup
"ResourceGroupName","Location","ProvisioningState","Tags","TagsTable","ResourceId","ManagedBy"
"anp-dev-rg","japaneast","Succeeded","System.Collections.Hashtable",,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/anp-dev-rg",
"AzureBackupRG_japaneast_1","japaneast","Succeeded",,,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/AzureBackupRG_japaneast_1","subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/providers/Microsoft.RecoveryServices/"
"wms-dev-rg","japaneast","Succeeded","System.Collections.Hashtable",,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/wms-dev-rg",
"msm-dev-rg","japaneast","Succeeded","System.Collections.Hashtable",,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/msm-dev-rg",
"ptf-dev-rg","japaneast","Succeeded","System.Collections.Hashtable",,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/ptf-dev-rg",
"itg-dev-rg-backup","japaneast","Succeeded","System.Collections.Hashtable",,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/itg-dev-rg-backup",
"ifr-copy-rg","japaneast","Succeeded","System.Collections.Hashtable",,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/ifr-copy-rg",
"ifr-automation-test-rg","japaneast","Succeeded","System.Collections.Hashtable",,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/ifr-automation-test-rg",
"ifr-test-rg","japaneast","Succeeded","System.Collections.Hashtable","
Name          Value    
============  =========
System Name   ????     
System Usage  ?????????
","/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/ifr-test-rg",
"p2m-dev-rg","japaneast","Succeeded","System.Collections.Hashtable",,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/p2m-dev-rg",
"cloud-shell-storage-southeastasia","southeastasia","Succeeded",,,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/cloud-shell-storage-southeastasia",
"acn-dev-rg","japaneast","Succeeded",,,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acn-dev-rg",
"acm-dev-rg","japaneast","Succeeded",,,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/acm-dev-rg",
"asr-dev-rg","japaneast","Succeeded",,,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/asr-dev-rg",
"appgateway","japaneast","Succeeded",,,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/appgateway",
"ast-dev-rg","japaneast","Succeeded","System.Collections.Hashtable",,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/ast-dev-rg",
"azstlndgrp012","japaneast","Succeeded",,,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/azstlndgrp012",
"azstlndb2ctest","japaneast","Succeeded",,,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/azstlndb2ctest",
"c1a-dev-rg","japaneast","Succeeded",,,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/c1a-dev-rg",
"azstlndsmt011-rg","centralus","Succeeded",,,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/azstlndsmt011-rg",
"chk-dev-rg","japaneast","Succeeded",,,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/chk-dev-rg",
"cdx-dev-rg","japaneast","Succeeded",,,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/cdx-dev-rg",
"dashboards","centralus","Succeeded",,,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/dashboards",
"crm-dev-rg","japaneast","Succeeded",,,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/crm-dev-rg",
"dwh-dev-rg","japaneast","Succeeded",,,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/dwh-dev-rg",
"DefaultResourceGroup-EJP","japaneast","Succeeded","System.Collections.Hashtable",,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/DefaultResourceGroup-EJP",
"edi-dev-rg","japaneast","Succeeded",,,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/edi-dev-rg",
"ekwork","japaneast","Succeeded",,,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/ekwork",
"fam-dev-rg","japaneast","Succeeded",,,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/fam-dev-rg",
"hmr-dev-rg","japaneast","Succeeded",,,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/hmr-dev-rg",
"fax-dev-rg","japaneast","Succeeded",,,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/fax-dev-rg",
"hsk-dev-rg","japaneast","Succeeded",,,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/hsk-dev-rg",
"ifr-dev-rg","japaneast","Succeeded","System.Collections.Hashtable",,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/ifr-dev-rg",
"igs-dev-rg","japaneast","Succeeded",,,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/igs-dev-rg",
"ite-dev-rg","japaneast","Succeeded",,,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/ite-dev-rg",
"isn-dev-rg","japaneast","Succeeded",,,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/isn-dev-rg",
"jp1-dev-rg","japaneast","Succeeded","System.Collections.Hashtable","
Name          Value 
============  ======
functionName  JP1???
","/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/jp1-dev-rg",
"itg-dev-rg","japaneast","Succeeded",,,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/itg-dev-rg",
"kyk-dev-rg","japaneast","Succeeded",,,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/kyk-dev-rg",
"kkn-dev-rg","japaneast","Succeeded",,,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/kkn-dev-rg",
"linda-d365-demo2","centralus","Succeeded",,,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/linda-d365-demo2",
"lnk-dev-rg","japaneast","Succeeded",,,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/lnk-dev-rg",
"NetworkWatcherRG","westus","Succeeded",,,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/NetworkWatcherRG",
"nau-dev-rg","japaneast","Succeeded",,,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/nau-dev-rg",
"OpenTextCSP","japaneast","Succeeded",,,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/OpenTextCSP",
"nmq-dev-rg","japaneast","Succeeded","System.Collections.Hashtable",,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/nmq-dev-rg",
"pnd-dev-rg","japaneast","Succeeded",,,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/pnd-dev-rg",
"pmo-dev-rg","japaneast","Succeeded",,,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/pmo-dev-rg",
"rbt-dev-rg","japaneast","Succeeded",,,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/rbt-dev-rg",
"qvs-dev-rg","japaneast","Succeeded","System.Collections.Hashtable",,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/qvs-dev-rg",
"scsk-rg","japaneast","Succeeded",,,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/scsk-rg",
"RG-LindaBotPoc","japaneast","Succeeded",,,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/RG-LindaBotPoc",
"tod-dev-rg","japaneast","Succeeded","System.Collections.Hashtable",,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/tod-dev-rg",
"ScskTest","eastus","Succeeded",,,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/ScskTest",
"wfl-dev-rg","japaneast","Succeeded",,,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/wfl-dev-rg",
"VisualStudioOnline-B7CAB0ABAD33426BAF17E5CB3D9EAE15","eastasia","Succeeded",,,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/VisualStudioOnline-B7CAB0ABAD33426BAF17E5CB3D9EAE15",
"ysn-dev-rg","japaneast","Succeeded",,,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/ysn-dev-rg",
"wpf-dev-rg","japaneast","Succeeded","System.Collections.Hashtable",,"/subscriptions/5ab83544-69d0-43af-8659-65070c6ec801/resourceGroups/wpf-dev-rg",
